,Total recreational catch,Total recreational catch
,Millions of pounds,Millions of pounds
,Puerto Rico,USVI
1995,1.94730728678449,0.163088511510554
1996,1.93279696786,0.166384326829757
1997,2.64559177119472,0.169680142148961
1998,3.35838657452988,0.172975957469046
1999,4.07118137786526,0.176271772788249
2000,4.7839761812002,0.179567588107453
2001,3.43230593439954,0.182863403427538
2002,2.54915637799992,0.186159218746741
2003,3.90364290120002,0.189455034065944
2004,2.23043684960016,0.19189571697119
2005,2.04932605439966,0.194336399875553
2006,2.49717429880045,0.188874384716007
2007,2.46976316560027,0.19328633043996
2008,1.98619010680045,0.191053372390285
2009,1.21236800520011,0.187336659182185
2010,0.815117092800061,0.192397398334514
2011,0.8916695821,0.1986601600808
2012,1.24602476855978,0.211363202567
2013,0.63094240242022,0.2034667387434
2014,1.96851181185978,0.209245775288
2015,1.12538341729839,0.209245775288
2016,1.03925737190538,0.209245775288
2017,1.09880895163711,0.209245775288
2018,1.08811437115295,0.209245775288
2019,1.11045313148897,0.209245775288
