,Turbidity from ocean color data,Turbidity from ocean color data,Turbidity from ocean color data
,Diffuse attenuation coefficient
 at 490 nm (m^-1),Diffuse attenuation coefficient
 at 490 nm (m^-1),Diffuse attenuation coefficient
 at 490 nm (m^-1)
,Puerto Rico,St. Thomas and St. John,St. Croix
05-2014,0.0429860104248571,0.0424444445719322,0.0456290913407098
06-2014,0.0450587571561757,0.0437169233480325,0.0344687503335687
07-2014,0.0441689202455678,0.0419999999135281,0.035953535594874
08-2014,0.0534625111345637,0.0441797106000392,0.0392480772525932
09-2014,0.0485627706513389,0.0532676056814446,0.0439065420982715
10-2014,0.0557683943379148,0.0546301371124509,0.044731531460006
11-2014,0.0598779002600409,0.0620136988693721,0.0454607144929469
12-2014,0.0568138984079331,0.0495783784804312,0.0440522525123916
01-2015,0.0522681973893576,0.0492972974489267,0.0456267861216994
02-2015,0.0573640068904426,0.0569835615229525,0.0466018019428661
03-2015,0.0484813993189598,0.0424301373223736,0.0369926606296399
04-2015,0.0407002570846572,0.0398985916145251,0.0340588235241525
05-2015,0.0433245021914378,0.043321739072385,0.0427835051776822
06-2015,0.0444209151343323,0.044170588364496,0.0380100000835955
07-2015,0.0520732866138586,0.0461057144616331,0.0454058824654888
08-2015,0.0543695207803242,0.0458169015465488,0.04944814807149
09-2015,0.0543265133121155,0.0561621620042904,0.0469964286645076
10-2015,0.0540697436190696,0.0543333337021371,0.0597685184329748
11-2015,0.0575778922425214,0.0504493152544107,0.048357143166608
12-2015,0.0609981246254481,0.0540837837332809,0.0578890915790742
01-2016,0.0527433898347288,0.0532891892299459,0.0437428573246247
02-2016,0.0487072464231106,0.0579000004642719,0.0409357143133613
03-2016,0.0451479592696339,0.0452112678018674,0.0360407407602502
04-2016,0.0439147485304189,0.0377600000106863,0.0403745455159382
05-2016,0.0453006256491585,0.0445969233432641,0.0433000000545158
06-2016,0.0462371404376125,0.0408142857253551,0.0392989476260386
07-2016,0.0480666089066323,0.0429217392119808,0.0475708737390713
08-2016,0.0491276708547346,0.0416956522866436,0.0429345458068631
09-2016,0.051109199340771,0.0465830986348676,0.0453084114521185
10-2016,0.0635233788112172,0.0724356157628641,0.0428857145210107
11-2016,0.070302730308585,0.0497486488641919,0.0439889908964754
12-2016,0.05652354956595,0.0546250001320408,0.0456624998644527
01-2017,0.0590087986628441,0.0543973688036203,0.0433571429790131
02-2017,0.045322828015449,0.0453842105343938,0.0390000001394323
03-2017,0.0433969178909997,0.042128767129289,0.0360946430591866
04-2017,0.0429818649179564,0.0419971831667591,0.0365625001556639
05-2017,0.0451986278929647,0.0394457143864461,0.0339069307624999
06-2017,0.0462294372951701,0.0381029412314734,0.0396601944908644
07-2017,0.0644817000540928,0.0505000000553472,0.0581719626402743
08-2017,0.076694463747054,0.0575852941392976,0.0567203703232937
09-2017,0.0660726795961425,0.0488268659352811,0.0437393941060461
10-2017,0.0721852562769097,0.0562583333295253,0.0422524272744517
11-2017,0.0709179966190295,0.0489486487884377,0.0475660714686715
12-2017,0.06314210987921,0.0529944448369659,0.045196428595643
01-2018,0.0659947415151846,0.0451917809829728,0.0404106195257828
02-2018,0.0631743369160349,0.040536986217413,0.0383625000748517
03-2018,0.0632197111481033,0.0517915492536316,0.0370250002680612
04-2018,0.0486950597438638,0.0359808221612483,0.0386990991563679
05-2018,0.05037584129602,0.040942857041955,0.0470766359156816
06-2018,0.0569272412244941,0.0450358207879671,0.0551638093732652
07-2018,0.044968399263748,0.0419122808727256,0.0435499999388728
08-2018,0.0494058356430154,0.0424520549147505,0.0398495239516099
09-2018,0.0621865304077373,0.0470055560063985,0.046518181941726
10-2018,0.0714679695729138,0.0675616441932443,0.0852920356643411
11-2018,0.0860223729194979,0.0732106665273507,0.0746053572677608
12-2018,0.0675365027381781,0.0519756758333863,0.0564374998544476
01-2019,0.0596711375752182,0.048797260255438,0.0468214284794937
02-2019,0.0565656463435034,0.050978082091841,0.0493321428740663
03-2019,0.0534179813439458,0.0426739727032103,0.0438642858394555
04-2019,0.0499950556206784,0.0427388888525052,0.0381384618544521
05-2019,0.0505496986486294,0.0487314285976546,0.0398320002481341
06-2019,0.0514090200409565,0.04912676061438,0.0401020002737641
07-2019,0.0652529664981473,0.0500704226884204,0.0469738316730918
08-2019,0.0520364889624992,0.0453835615556534,0.0548954954421198
09-2019,0.0481429794844725,0.0397887326462168,0.0430327274921266
10-2019,0.0550152802276971,0.0609680000940959,0.0439333334430918
11-2019,0.0576123729742811,0.0538243245132066,0.0423174313517339
12-2019,0.058399148364718,0.0579833336588409,0.0403596329067005
01-2020,0.054804425577217,0.0482657534925088,0.0469816513872201
02-2020,0.0479801527119421,0.0441918920574559,0.0362464284989983
03-2020,0.0448187234680703,0.0383464787942423,0.0297904762661173
04-2020,0.039319522656621,0.0339243243372924,0.0367124998509618
05-2020,0.0410230240778185,0.0368628571342145,0.0407125000409516
06-2020,0.0447263699152494,0.0415085713246039,0.0426178572233766
07-2020,0.04349095708608,0.0393499999909716,0.0401425925945794
08-2020,0.0526555271016397,0.0375507247998663,0.0362150943750199
09-2020,0.0500573139443318,0.0791648656029154,0.0427000001580878
10-2020,0.0556151360830888,0.051267567971671,0.0410504504064987
11-2020,0.0578568279016463,0.0491260276367403,0.0407740740898859
12-2020,0.0512634436011416,0.0561946666737397,0.0421415930201786
01-2021,0.0491234546528844,0.0510746667534113,0.0395008850414141
02-2021,0.0537848638665235,0.0442342106743078,0.0365375000151939
03-2021,0.045213389832337,0.0388108109300201,0.0380071429203131
04-2021,0.0407162117247339,0.0370194446036799,0.0428625000973365
05-2021,0.0435828914000654,0.0363388889365726,0.0551724771738326
06-2021,0.0764939304237342,0.05987907001792,0.0689766238165366
07-2021,0.0698793762051977,0.0579628572400127,0.0561018182472749
08-2021,0.0661136482086816,0.0467057143204979,0.0513037036483487
09-2021,0.0566562235506786,0.043897297459881,0.0737142864880817
10-2021,0.0685056926589222,0.0471105263813546,0.0528678572404065
11-2021,0.0649043110373256,0.0638631580299453,0.0461678572963657
12-2021,0.0563482412088731,0.0526756760035012,0.0412089286338804
01-2022,0.0524280169184952,0.0554447369159837,0.041303571563081
02-2022,0.0540340677440419,0.0627146665751934,0.0358385319454134
03-2022,0.0454102041703478,0.0431780823034375,0.0383964286551678
04-2022,0.0389366438133923,0.0326083335611555,0.031384761862102
05-2022,0.0454594872573502,0.0343777776902748,0.0397698116260317
06-2022,0.0439388842158051,0.0431567569691184,0.0398899081479245
07-2022,0.0498733216560982,0.0429027778251717,0.0450549019391046
08-2022,0.05301996574556,0.0447561646977516,0.0473481482584719
09-2022,0.0692259675197733,0.0512630137015287,0.0385752382022994
10-2022,0.0655790993559254,0.0499621623170537,0.0526623856788928
11-2022,0.0791405772486724,0.0535840000708898,0.0505035712184118
12-2022,0.0676327119518261,0.0593866669634978,0.0475053571530485
01-2023,0.0616366864589066,0.0553066667169333,0.0434357145069433
02-2023,0.0579964437827178,0.0485733331988255,0.0396303569764963
03-2023,0.04589077064911,0.0457493335008621,0.0373571428270744
04-2023,0.0445239149636411,0.0376767123704904,0.0390165140254235
05-2023,0.0470659228273599,0.0411943662649309,0.0352222222524385
06-2023,0.0507054734460485,0.0441014083285987,0.042401869320006
07-2023,0.0569621865423964,0.0596911766128067,0.0420363638550043
08-2023,0.058852677847585,0.0455652174364398,0.0329160002246499
09-2023,0.0573726281864642,0.0504109591551839,0.0386261681321068
10-2023,0.0562578191034439,0.046678378372579,0.0438446428161114
11-2023,0.0646216353826745,0.0475361108676427,0.0449571431547936
12-2023,0.0550861017857441,0.0466883119389221,0.0444378378792658
01-2024,0.0508368867520375,0.0519561648419867,0.0434696427047519
02-2024,0.0531430026979215,0.047378082057997,0.0413464286497661
03-2024,0.0403373617456948,0.0383605634609998,0.0344522522913443
04-2024,0.0412393164287648,0.0363323943505824,0.0339719625625098
05-2024,0.0575034188329537,0.0443183098145774,0.0408728974131502
06-2024,0.0463332749426939,0.0541492962134136,0.0327240001223981
08-2024,0.0492740869797442,0.0436571431479284,0.0347500001438535
09-2024,0.0525320306350695,0.0669123290030107,0.0624160713715745
10-2024,0.0595901444927807,0.0452328768546042,0.0487732143873083
11-2024,0.0687169362905812,0.0812602741771365,0.0410356434375638
12-2024,0.0645601694503704,0.0605378373450524,0.0395981651141283
