,Average maximum length of species in demersal landings,Average maximum length of species in demersal landings,Average maximum length of species in demersal landings
,Length (cm),Length (cm),Length (cm)
,Puerto Rico,St. Thomas and St. John,St. Croix
2005,88.8547422196215,,
2006,93.4884781386641,,
2007,89.5754319337809,,
2008,87.6125687745224,,
2009,84.4475754182934,,
2010,86.2427081078125,,
2011,84.0851939455178,65.9286459551646,59.0331674416863
2012,81.5983917550234,65.6014928882722,60.2683185258541
2013,81.0987687595234,65.6208441523803,59.4074042780086
2014,82.8411255632066,66.150169930526,59.7063009282558
2015,83.0861176182729,65.3602377460054,59.7674513275247
2016,81.6935409334544,64.5879447256462,58.7268497424781
2017,81.6800251121334,63.7787375125454,61.0777382207361
2018,83.0532824710581,66.468880327391,64.0925384635088
2019,83.5664730637541,65.9707795598846,59.2711279011049
2020,83.2851772932991,65.6162784713755,59.8918906181078
2021,81.8847126289364,66.2701476041185,60.5589693749062
2022,81.6216299227058,67.9503879576961,61.9845509794342
2023,82.2823967154562,68.0902197330783,64.7583700946272
