,Ocean acidification
,Surface aragonite saturation
,
Aug2002,4.2483714
Sep2002,4.2395336
Oct2002,4.2213837
Nov2002,4.2185225
Dec2002,4.2064892
Jan2003,4.1963385
Feb2003,4.1785507
Mar2003,4.1640611
Apr2003,4.1699489
May2003,4.1924799
Jun2003,4.2048451
Jul2003,4.2131908
Aug2003,4.2321876
Sep2003,4.265252
Oct2003,4.2890371
Nov2003,4.2812423
Dec2003,4.2580672
Jan2004,4.2351827
Feb2004,4.2246823
Mar2004,4.2121096
Apr2004,4.2269789
May2004,4.2268089
Jun2004,4.2199236
Jul2004,4.2016116
Aug2004,4.1906318
Sep2004,4.1864841
Oct2004,4.1958458
Nov2004,4.1836356
Dec2004,4.1540474
Jan2005,4.1297397
Feb2005,4.1182899
Mar2005,4.1147498
Apr2005,4.1292106
May2005,4.1512105
Jun2005,4.1776555
Jul2005,4.2016335
Aug2005,4.2312648
Sep2005,4.2661898
Oct2005,4.2476969
Nov2005,4.2115594
Dec2005,4.1919118
Jan2006,4.1726037
Feb2006,4.1435398
Mar2006,4.1494104
Apr2006,4.1660731
May2006,4.1953544
Jun2006,4.2317405
Jul2006,4.2032864
Aug2006,4.1942135
Sep2006,4.2278194
Oct2006,4.2333104
Nov2006,4.2115544
Dec2006,4.1842248
Jan2007,4.1782295
Feb2007,4.2005665
Mar2007,4.1985352
Apr2007,4.2113707
May2007,4.2389035
Jun2007,4.247525
Jul2007,4.2572649
Aug2007,4.2538526
Sep2007,4.2669621
Oct2007,4.2698988
Nov2007,4.2482637
Dec2007,4.2293816
Jan2008,4.1967276
Feb2008,4.1643605
Mar2008,4.1625737
Apr2008,4.1685795
May2008,4.1904593
Jun2008,4.2256622
Jul2008,4.2206415
Aug2008,4.2494761
Sep2008,4.2668114
Oct2008,4.2664849
Nov2008,4.2668132
Dec2008,4.2269286
Jan2009,4.1805006
Feb2009,4.1548541
Mar2009,4.1339566
Apr2009,4.136152
May2009,4.1328054
Jun2009,4.1411541
Jul2009,4.1472658
Aug2009,4.1428321
Sep2009,4.166338
Oct2009,4.1647257
Nov2009,4.1669
Dec2009,4.1515632
Jan2010,4.1143515
Feb2010,4.0806758
Mar2010,4.0800924
Apr2010,4.0842207
May2010,4.1035477
Jun2010,4.1270582
Jul2010,4.1344654
Aug2010,4.1631989
Sep2010,4.1835484
Oct2010,4.1933079
Nov2010,4.1756381
Dec2010,4.1461975
Jan2011,4.1289067
Feb2011,4.1172071
Mar2011,4.110058
Apr2011,4.1189638
May2011,4.1353568
Jun2011,4.1525864
Jul2011,4.145183
Aug2011,4.1288269
Sep2011,4.1340568
Oct2011,4.1355384
Nov2011,4.1159455
Dec2011,4.104731
Jan2012,4.0702237
Feb2012,4.052206
Mar2012,4.0530111
Apr2012,4.0643129
May2012,4.0696143
Jun2012,4.093834
Jul2012,4.09612
Aug2012,4.0815672
Sep2012,4.0991257
Oct2012,4.1063783
Nov2012,4.1276646
Dec2012,4.0947229
Jan2013,4.0515234
Feb2013,4.0411769
Mar2013,4.058945
Apr2013,4.0750013
May2013,4.095825
Jun2013,4.0953546
Jul2013,4.1053182
Aug2013,4.1113956
Sep2013,4.1010529
Oct2013,4.1169453
Nov2013,4.0889113
Dec2013,4.0392957
Jan2014,3.9911
Feb2014,3.9874609
Mar2014,4.0041661
Apr2014,4.0189432
May2014,4.0461925
Jun2014,4.07101
Jul2014,4.0811765
Aug2014,4.075043
Sep2014,4.0776603
Oct2014,4.1095665
Nov2014,4.1131314
Dec2014,4.0741737
Jan2015,4.0364604
Feb2015,4.0397687
Mar2015,4.025182
Apr2015,4.0309858
May2015,4.053102
Jun2015,4.0813233
Jul2015,4.0823314
Aug2015,4.0754617
Sep2015,4.0842467
Oct2015,4.1214978
Nov2015,4.1120705
Dec2015,4.0956869
Jan2016,4.0621426
Feb2016,4.0628999
Mar2016,4.0610398
Apr2016,4.0728781
May2016,4.0959419
Jun2016,4.1090852
Jul2016,4.1171298
Aug2016,4.1284823
Sep2016,4.1566733
Oct2016,4.1640165
Nov2016,4.1616282
Dec2016,4.1185122
Jan2017,4.062921
Feb2017,4.0456052
Mar2017,4.0246257
Apr2017,4.0261354
May2017,4.0382477
Jun2017,4.0523919
Jul2017,4.0582026
Aug2017,4.059234
Sep2017,4.0619656
Oct2017,4.0576448
Nov2017,4.0246022
Dec2017,3.9965598
Jan2018,3.9853003
Feb2018,3.9487697
Mar2018,3.949955
Apr2018,3.9691467
May2018,3.9742992
Jun2018,3.9793641
Jul2018,3.9758338
Aug2018,3.9561077
Sep2018,3.9565508
Oct2018,3.9795126
Nov2018,3.9740559
Dec2018,3.9370568
Jan2019,3.9136918
Feb2019,3.90852
Mar2019,3.9155988
Apr2019,3.9350999
May2019,3.9561
Jun2019,3.9834224
Jul2019,4.0008432
Aug2019,4.0285492
Sep2019,4.0509111
Oct2019,4.0667652
Nov2019,4.04864
Dec2019,4.0367088
